,nombre,orden,familia,genus,nombre_comun,conservacion,invasivo,taxonConceptID,nombre2,subgenus,taxonRank
0,Motacilla alba,Passeriformes,Motacillidae,Motacilla,White Wagtail,0,0,9687165.0,,,species
1,Passer domesticus,Passeriformes,Passeridae,Passer,House Sparrow,0,0,5231190.0,,,species
2,Pica pica,Passeriformes,Corvidae,Pica,Eurasian Magpie,0,0,5229490.0,,,species
3,Turdus merula,Passeriformes,Turdidae,Turdus,Eurasian Blackbird,0,0,2490719.0,,,species
4,Columba palumbus,Columbiformes,Columbidae,Columba,Common Wood-Pigeon,0,0,2495455.0,,,species
5,Anas platyrhynchos,Anseriformes,Anatidae,Anas,Bunásuorsá,0,0,9761484.0,,,species
6,Motacilla cinerea,Passeriformes,Motacillidae,Motacilla,Gray Wagtail,0,0,2490310.0,,,species
7,Phoenicurus ochruros,Passeriformes,Muscicapidae,Phoenicurus,Black Redstart,0,0,5739315.0,,,species
8,Erithacus rubecula,Passeriformes,Muscicapidae,Erithacus,European Robin,1,0,2492462.0,,,species
9,Carduelis carduelis,Passeriformes,Fringillidae,Carduelis,European Goldfinch,0,0,2494686.0,,,species
10,Corvus corone,Passeriformes,Corvidae,Corvus,Carrion Crow,0,0,9409796.0,,,species
11,Serinus serinus,Passeriformes,Fringillidae,Serinus,European Serin,0,0,2494200.0,,,species
12,Chroicocephalus ridibundus,Charadriiformes,Laridae,Chroicocephalus,Black-Headed Gull,0,0,6065824.0,,,species
13,Ardea cinerea,Pelecaniformes,Ardeidae,Ardea,Grey Heron,1,0,9797180.0,,,species
14,Fringilla coelebs,Passeriformes,Fringillidae,Fringilla,Common Chaffinch,0,0,2494422.0,,,species
15,Hirundo rustica,Passeriformes,Hirundinidae,Hirundo,Barn Swallow,0,0,9515886.0,,,species
16,Parus major,Passeriformes,Paridae,Parus,Great Tit,0,0,9705453.0,,,species
17,Delichon urbicum,Passeriformes,Hirundinidae,Delichon,Common House-Martin,1,0,2489214.0,,,species
18,Phylloscopus collybita,Passeriformes,Phylloscopidae,Phylloscopus,Common Chiffchaff,0,0,2493091.0,,,species
19,Upupa epops,Bucerotiformes,Upupidae,Upupa,Eurasian Hoopoe,0,0,2498415.0,,,species
20,Regulus ignicapilla,Passeriformes,Regulidae,Regulus,Firecrest,0,0,6093527.0,,,species
21,Buteo buteo,Accipitriformes,Accipitridae,Buteo,Common Buzzard,1,0,2480537.0,,,species
