"Column name","Requested field","DwC Name","Field name","Field description","Download field name","Download field description","More information"
"data_resource_uid","data_resource_uid","","data_resource_uid","Dataset","data_resource_uid","Data Resource ID","The Atlas ID for the data resource"
"dcterms:language","language","dcterms:language","language","","language","","Language of the record"
"dcterms:license","license","dcterms:license","license","License","license","Licence","The license applying to a record."
"dcterms:rightsHolder","rightsholder","dcterms:rightsHolder","rightsholder","","rightsholder","",""
"access_rights","access_rights","dcterms:accessRights","access_rights","","access_rights","",""
"dcterms:bibliographicCitation","bibliographic_citation","dcterms:bibliographicCitation","bibliographic_citation","","bibliographic_citation","","Bibliographic citation for this record"
"institutionID","institution_id","institutionID","institution_id","Institution ID","institution_id","","http://rs.tdwg.org/dwc/terms/institutionID"
"collectionID","collection_id","collectionID","collection_id","Collection ID","collection_id","","http://rs.tdwg.org/dwc/terms/collectionID"
"datasetID","dataset_id","datasetID","dataset_id","Dataset ID","dataset_id","","http://rs.tdwg.org/dwc/terms/datasetID"
"institutionCode","institution_code","institutionCode","institution_code","Institution Code","institution_code","Institution Code","The institution code for this record. This will be populated if the data has come from a museum or herbaria http://rs.tdwg.org/dwc/terms/institutionCode"
"collectionCode","collection_code","collectionCode","collection_code","Collection Code","collection_code","Collection Code","The collection code for this record. This will be populated if the data has come from a museum or herbaria http://rs.tdwg.org/dwc/terms/collectionCode"
"datasetName","dataset_name","datasetName","dataset_name","Dataset / Survey name","dataset_name","","The name of the dataset for this record. Typically used to share the name of the survey when data has been supplied with multiple surveys in a single data resource. http://rs.tdwg.org/dwc/terms/datasetName"
"ownerInstitutionCode","owner_institution_code","ownerInstitutionCode","owner_institution_code","Owner Institution Code","owner_institution_code","","http://rs.tdwg.org/dwc/terms/ownerInstitutionCode"
"basisOfRecord","basis_of_record","basisOfRecord","basis_of_record","Record type","basis_of_record","Basis Of Record","What this is a record of e.g. specimen, human observation, fossil http://rs.tdwg.org/dwc/terms/basisOfRecord"
"dynamicProperties","dynamic_properties","dynamicProperties","dynamic_properties","Dynamic Properties","dynamic_properties","","http://rs.tdwg.org/dwc/terms/dynamicProperties"
"occurrenceID","occurrence_id","occurrenceID","occurrence_id","Occurrence ID","occurrence_id","","http://rs.tdwg.org/dwc/terms/occurrenceID"
"catalogNumber","catalogue_number","catalogNumber","catalogue_number","Catalogue Number","catalogue_number","Catalogue Number","http://rs.tdwg.org/dwc/terms/catalogNumber"
"recordNumber","record_number","recordNumber","record_number","Record number","record_number","Record number","http://rs.tdwg.org/dwc/terms/recordNumber"
"recordedBy","collector","recordedBy","collector","Collector","collector","Collector","http://rs.tdwg.org/dwc/terms/recordedBy"
"individualCount","individual_count","individualCount","individual_count","Individual count","individual_count","Individual count","http://rs.tdwg.org/dwc/terms/individualCount"
"organism_quantity","organism_quantity","organismQuantity","organism_quantity","Organism Quantity","organism_quantity","","http://rs.tdwg.org/dwc/terms/organismQuantity"
"organism_quantity_type","organism_quantity_type","organismQuantityType","organism_quantity_type","Organism Quantity Type","organism_quantity_type","","http://rs.tdwg.org/dwc/terms/organismQuantityType"
"sex","raw_sex","sex","raw_sex","Sex (unprocessed)","raw_sex","Sex","http://rs.tdwg.org/dwc/terms/sex"
