"Species","Species Name","Scientific Name Authorship","Taxon Rank","Kingdom","Phylum","Class","Order","Family","Genus","Vernacular Name","Conservation","Invasive"
"9687165","Motacilla alba","Linnaeus, 1758","species","Animalia","Chordata","Aves","Passeriformes","Motacillidae","Motacilla","White Wagtail","",""
"5231190","Passer domesticus","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","House Sparrow","",""
"5229490","Pica pica","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Passeriformes","Corvidae","Pica","Eurasian Magpie","",""
"2490719","Turdus merula","Linnaeus, 1758","species","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","Eurasian Blackbird","",""
"2495455","Columba palumbus","Linnaeus, 1758","species","Animalia","Chordata","Aves","Columbiformes","Columbidae","Columba","Common Wood-Pigeon","",""
"9761484","Anas platyrhynchos","Linnaeus, 1758","species","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anas","Bunásuorsá","",""
"2490310","Motacilla cinerea","Tunstall, 1771","species","Animalia","Chordata","Aves","Passeriformes","Motacillidae","Motacilla","Gray Wagtail","",""
"5739315","Phoenicurus ochruros","(S.G.Gmelin, 1774)","species","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Phoenicurus","Black Redstart","",""
"2492462","Erithacus rubecula","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Erithacus","European Robin","Listado de Especies Silvestres en Régimen de Protección Especial y Catálogo Español de Especies Amenazadas",""
"2494686","Carduelis carduelis","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Carduelis","European Goldfinch","",""
"9409796","Corvus corone","Linnaeus, 1758","species","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","Carrion Crow","",""
"2494200","Serinus serinus","(Linnaeus, 1766)","species","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Serinus","European Serin","",""
"6065824","Chroicocephalus ridibundus","(Linnaeus, 1766)","species","Animalia","Chordata","Aves","Charadriiformes","Laridae","Chroicocephalus","Black-Headed Gull","",""
"9797180","Ardea cinerea","Linnaeus, 1758","species","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","Grey Heron","Listado de Especies Silvestres en Régimen de Protección Especial y Catálogo Español de Especies Amenazadas",""
"2494422","Fringilla coelebs","Linnaeus, 1758","species","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Fringilla","Common Chaffinch","",""
"9515886","Hirundo rustica","Linnaeus, 1758","species","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Hirundo","Barn Swallow","",""
"9705453","Parus major","Linnaeus, 1758","species","Animalia","Chordata","Aves","Passeriformes","Paridae","Parus","Great Tit","",""
"2489214","Delichon urbicum","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Delichon","Common House-Martin","Listado de Especies Silvestres en Régimen de Protección Especial y Catálogo Español de Especies Amenazadas",""
"2493091","Phylloscopus collybita","(Vieillot, 1817)","species","Animalia","Chordata","Aves","Passeriformes","Phylloscopidae","Phylloscopus","Common Chiffchaff","",""
"2498415","Upupa epops","Linnaeus, 1758","species","Animalia","Chordata","Aves","Bucerotiformes","Upupidae","Upupa","Eurasian Hoopoe","",""
"6093527","Regulus ignicapilla","(Temminck, 1820)","species","Animalia","Chordata","Aves","Passeriformes","Regulidae","Regulus","Firecrest","",""
"2480537","Buteo buteo","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Buteo","Common Buzzard","Listado de Especies Silvestres en Régimen de Protección Especial y Catálogo Español de Especies Amenazadas",""
"5231438","Troglodytes troglodytes","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Troglodytes","Eurasian Wren","",""
"2495414","Columba livia","J.F.Gmelin, 1789","species","Animalia","Chordata","Aves","Columbiformes","Columbidae","Columba","Rock Pigeon","",""
"2495696","Streptopelia decaocto","(Frivaldszky, 1838)","species","Animalia","Chordata","Aves","Columbiformes","Columbidae","Streptopelia","Eurasian Collared Dove","",""
"7901064","Turdus philomelos","C.L.Brehm, 1831","species","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","Song Thrush","",""
"2492956","Sylvia atricapilla","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Passeriformes","Sylviidae","Sylvia","Eurasian Blackcap","",""
"4408759","Saxicola rubicola","(Linnaeus, 1766)","species","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Saxicola","European Stonechat","",""
"9413670","Larus michahellis","J.F.Naumann, 1840","species","Animalia","Chordata","Aves","Charadriiformes","Laridae","Larus","Yellow-Legged Gull","",""
"5228676","Apus apus","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Apodiformes","Apodidae","Apus","Common Swift","Listado de Especies Silvestres en Régimen de Protección Especial y Catálogo Español de Especies Amenazadas",""
"5845582","Chloris chloris","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Chloris","European Greenfinch","",""
"2495000","Aegithalos caudatus","(Linnaeus, 1758)","species",,,,,,,"Long-Tailed Tit","Listado de Especies Silvestres en Régimen de Protección Especial y Catálogo Español de Especies Amenazadas",""
"2480830","Bubulcus ibis","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Bubulcus","Western Cattle Egret","Listado de Especies Silvestres en Régimen de Protección Especial y Catálogo Español de Especies Amenazadas",""
"9616058","Falco tinnunculus","Linnaeus, 1758","species","Animalia","Chordata","Aves","Falconiformes","Falconidae","Falco","Tårnfalk","",""
"2487879","Cyanistes caeruleus","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Passeriformes","Paridae","Cyanistes","Eurasian Blue Tit","Listado de Especies Silvestres en Régimen de Protección Especial y Catálogo Español de Especies Amenazadas",""
"5228199","Gallinula chloropus","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Gruiformes","Rallidae","Gallinula","Common Moorhen","",""
"5229493","Garrulus glandarius","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Passeriformes","Corvidae","Garrulus","Eurasian Jay","",""
"2478523","Picus viridis","Linnaeus, 1758","species","Animalia","Chordata","Aves","Piciformes","Picidae","Picus","Grønspætte","",""
"7806848","Certhia brachydactyla","C.L.Brehm, 1820","species","Animalia","Chordata","Aves","Passeriformes","Certhiidae","Certhia","Short-Toed Treecreeper","Listado de Especies Silvestres en Régimen de Protección Especial y Catálogo Español de Especies Amenazadas",""
"2481800","Actitis hypoleucos","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Actitis","Common Sandpiper","Listado de Especies Silvestres en Régimen de Protección Especial y Catálogo Español de Especies Amenazadas",""
"2480876","Egretta garzetta","(Linnaeus, 1766)","species","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Egretta","Little Egret","Listado de Especies Silvestres en Régimen de Protección Especial y Catálogo Español de Especies Amenazadas",""
"5231209","Passer hispaniolensis","(Temminck, 1820)","species","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Spanish Sparrow","",""
"2487871","Periparus ater","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Passeriformes","Paridae","Periparus","Coal Tit","",""
"2481890","Phalacrocorax carbo","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Suliformes","Phalacrocoracidae","Phalacrocorax","Great Cormorant","",""
"2490255","Anthus spinoletta","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Passeriformes","Motacillidae","Anthus","Water Pipit","Listado de Especies Silvestres en Régimen de Protección Especial y Catálogo Español de Especies Amenazadas",""
"5231198","Passer montanus","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Eurasian Tree Sparrow","",""
"2481912","Ciconia ciconia","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Ciconiiformes","Ciconiidae","Ciconia","White Stork","Listado de Especies Silvestres en Régimen de Protección Especial y Catálogo Español de Especies Amenazadas",""
"2493012","Cettia cetti","(Temminck, 1820)","species","Animalia","Chordata","Aves","Passeriformes","Cettiidae","Cettia","Cetti's Warbler","Listado de Especies Silvestres en Régimen de Protección Especial y Catálogo Español de Especies Amenazadas",""
"7341593","Phylloscopus canariensis","(Hartwig, 1886)","species","Animalia","Chordata","Aves","Passeriformes","Phylloscopidae","Phylloscopus","Canary Islands Chiffchaff","",""
"2479407","Myiopsitta monachus","(Boddaert, 1783)","species","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Myiopsitta","Munkeparakit","","Catálogo Español de Especies Exóticas Invasoras"
"2493660","Estrilda astrild","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Passeriformes","Estrildidae","Estrilda","Common Waxbill","",""
"2494303","Serinus canaria","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Serinus","Island Canary","",""
"7660710","Luscinia megarhynchos","C.L.Brehm, 1831","species","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Luscinia","Common Nightingale","",""
